tweet,user,location,date
"😒: Peoples mood on the CTA decreased over the past hour. Analyzed 22 tweets, with 83.21% feeling Tentative. #Chicago #CTA #CTAMOOD",CtaMood,"Chicago, IL",2019-10-22 23:01:01
A rapt audience at #CTA #TDSBguidance #8to9 #beyond8 https://t.co/HBOU2Eomke,michelle_bruner,,2019-10-22 22:54:41
RT @SPOTNEWSonIG: 93/Oglesby: #CTA says an unknown male set a female passenger's hair on fire on the bus. #ChicagoScanner,TheeMarilee,Chicago,2019-10-22 22:46:55
RT @SPOTNEWSonIG: 93/Oglesby: #CTA says an unknown male set a female passenger's hair on fire on the bus. #ChicagoScanner,StewardessChick,CHICAGO ,2019-10-22 22:42:30
RT @SPOTNEWSonIG: 93/Oglesby: #CTA says an unknown male set a female passenger's hair on fire on the bus. #ChicagoScanner,mostdopeGuera37,Chupa mi verga.,2019-10-22 22:41:24
RT @SPOTNEWSonIG: 93/Oglesby: #CTA says an unknown male set a female passenger's hair on fire on the bus. #ChicagoScanner,The_Truthness,#Chicago ©,2019-10-22 22:40:00
93/Oglesby: #CTA says an unknown male set a female passenger's hair on fire on the bus. #ChicagoScanner,SPOTNEWSonIG,Chicago IL ,2019-10-22 22:37:59
"Seriously gum snappers, can you not hear how disgusting you sound???? #cta #63W #poepleofthecta #gumsnappers… https://t.co/AMEXVXXS3H",KKira312,Chicago,2019-10-22 22:25:17
Your Illinois News Radar » IDOT ups the ante on Peotone airport - The Capitol Fax Blog: https://t.co/HVZVtkBK3h… https://t.co/2i2CWSzaRw,MyTransit_CH,"Chicago, IL",2019-10-22 22:17:14
"Your Illinois News Radar » Pritzker unveils multi-year IDOT plan, claims “rigorous and objective criteria” used - T… https://t.co/FM23UN7s6r",MyTransit_CH,"Chicago, IL",2019-10-22 22:17:14
#home #again #cta #el #blue #line #PETESIDE @ Hyatt Regency O’Hare Chicago https://t.co/pRkQ3lZ9aK,Pstukin1,Behind You!,2019-10-22 22:16:08
"3: 72nd &amp; King Drive - Unknown objects were just throwing at a #CTA bus window breaking it
#ChicagoScanner",ChiLivePD,Chicago,2019-10-22 22:10:17
